"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","Yes","","2019"
"American Immigration Control Foundation/Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","Yes","","2019"
"Americans for Legal Immigration (ALIPAC)","Raleigh","North Carolina","","Anti-Immigrant","Yes","","2019"
"AZ Patriots","","Arizona","","Anti-Immigrant","Yes","Yes","2019"
"Californians for Population Stabilization","Ventura","California","","Anti-Immigrant","","","2019"
"Center for Immigration Studies","Washington","District of Columbia","Center for Immigration Studies","Anti-Immigrant","Yes","","2019"
"Colorado Alliance for Immigration Reform","Lakewood","Colorado","","Anti-Immigrant","Yes","","2019"
"Federation for American Immigration Reform","Washington","District of Columbia","Federation for American Immigration Reform","Anti-Immigrant","Yes","","2019"
"Floridians for Immigration Enforcement","Pompano Beach","Florida","","Anti-Immigrant","","","2019"
"Help Save Maryland","Monkton","Maryland","","Anti-Immigrant","Yes","","2019"
"Immigration Reform Law Institute","Washington","District of Columbia","","Anti-Immigrant","Yes","","2019"
"Legal Immigrants for America","Winter Springs","Florida","","Anti-Immigrant","Yes","","2019"
"Mountain Minutemen","Tecate","California","","Anti-Immigrant","Yes","","2019"
"Oregonians for Immigration Reform","Salem","Oregon","","Anti-Immigrant","Yes","","2019"
"ProEnglish","Arlington","Virginia","","Anti-Immigrant","Yes","","2019"
"Respect Washington","Burien","Washington","","Anti-Immigrant","Yes","","2019"
"San Diegans for Secure Borders","San Diego","California","","Anti-Immigrant","Yes","","2019"
"Texans for Immigration Reduction and Enforcement","Houston","Texas","","Anti-Immigrant","Yes","","2019"
"The Dustin Inman Society","Marietta","Georgia","Dustin Inman Society","Anti-Immigrant","Yes","","2019"
"The Remembrance Project","Houston","Texas","","Anti-Immigrant","Yes","","2019"
"All Scripture Baptist Church","Knoxville","Tennessee","","Anti-LGBTQ","Yes","","2019"
"Alliance Defending Freedom","Scottsdale","Arizona","Alliance Defending Freedom","Anti-LGBTQ","","","2019"
"American College of Pediatricians","Gainesville","Florida","American College of Pediatricians","Anti-LGBTQ","","","2019"
"American Family Association","Tupelo","Mississippi","American Family Association","Anti-LGBTQ","Yes","","2019"
"American Family Association","Franklin","Pennsylvania","American Family Association","Anti-LGBTQ","","","2019"
"American Vision","Powder Springs","Georgia","","Anti-LGBTQ","","","2019"
"Americans for Truth About Homosexuality","Naperville","Illinois","","Anti-LGBTQ","Yes","","2019"
"ATLAH Media Network","New York","New York","","Anti-LGBTQ","","","2019"
"Bible Believers Fellowship","Worthington","Ohio","","Anti-LGBTQ","Yes","","2019"
"Center for Family and Human Rights (C-FAM)","New York","New York","","Anti-LGBTQ","Yes","","2019"
"Chalcedon Foundation","Vallecito","California","","Anti-LGBTQ","","","2019"
"Church Militant/St. Michael's Media","Ferndale","Michigan","","Anti-LGBTQ","Yes","","2019"
"Concerned Christian Citizens","Temple","Texas","","Anti-LGBTQ","Yes","","2019"
"D. James Kennedy Ministries","Fort Lauderdale","Florida","","Anti-LGBTQ","","","2019"
"Faith Baptist Church","Violet","Louisiana","","Anti-LGBTQ","Yes","","2019"
"Faith Baptist Church","Baton Rouge","Louisiana","","Anti-LGBTQ","","","2019"
"Faith2Action","North Royalton","Ohio","","Anti-LGBTQ","Yes","","2019"
"Faithful Word Baptist Church","Tempe","Arizona","","Anti-LGBTQ","Yes","","2019"
"Faithful Word Baptist Church","Tucson","Arizona","","Anti-LGBTQ","","","2019"
"Family Research Council","Washington","District of Columbia","Family Research Council","Anti-LGBTQ","","","2019"
"Family Research Institute","Colorado Springs","Colorado","","Anti-LGBTQ","","","2019"
"Family Watch International","Gilbert","Arizona","Family Watch International","Anti-LGBTQ","","","2019"
"First Works Baptist Church","El Monte","California","","Anti-LGBTQ","Yes","","2019"
"Generations","Elizabeth","Colorado","","Anti-LGBTQ","","","2019"
"Heterosexuals Organized for a Moral Environment (H.O.M.E.)","Downers Grove","Illinois","","Anti-LGBTQ","","","2019"
"Illinois Family Institute","Carol Stream","Illinois","","Anti-LGBTQ","","","2019"
"Liberty Baptist Church","Rock Falls","Illinois","","Anti-LGBTQ","Yes","","2019"
"Liberty Counsel","Orlando","Florida","Liberty Counsel","Anti-LGBTQ","","","2019"
"Mass Resistance","Waltham","Massachusetts","","Anti-LGBTQ","Yes","","2019"
"Mass Resistance","Austin","Texas","","Anti-LGBTQ","","","2019"
"Mass Resistance","Dallas","Texas","","Anti-LGBTQ","","","2019"
"Mass Resistance","Denver","Colorado","","Anti-LGBTQ","","","2019"
"Mass Resistance","Detroit","Michigan","","Anti-LGBTQ","","","2019"
"Mass Resistance","Fort Worth","Texas","","Anti-LGBTQ","","","2019"
"Mass Resistance","Houston","Texas","","Anti-LGBTQ","","","2019"
"Mass Resistance","Las Vegas","Nevada","","Anti-LGBTQ","","","2019"
"Mass Resistance","Lexington Park","Maryland","","Anti-LGBTQ","","","2019"
"Mass Resistance","San Diego","California","","Anti-LGBTQ","","","2019"
"Mass Resistance","Seattle","Washington","","Anti-LGBTQ","","","2019"
"Mass Resistance","Torrance","California","","Anti-LGBTQ","","","2019"
"Mission: America","Columbus","Ohio","","Anti-LGBTQ","Yes","","2019"
"Pacific Justice Institute","Sacramento","California","Pacific Justice Institute","Anti-LGBTQ","Yes","","2019"
"Pacific Justice Institute","Salem","Oregon","Pacific Justice Institute","Anti-LGBTQ","","","2019"
"Pacific Justice Institute","San Jose","California","Pacific Justice Institute","Anti-LGBTQ","","","2019"
"Pacific Justice Institute","Santa Ana","California","Pacific Justice Institute","Anti-LGBTQ","","","2019"
"Pacific Justice Institute","Seattle","Washington","Pacific Justice Institute","Anti-LGBTQ","","","2019"
"Pass the Salt Ministries","Hebron","Ohio","","Anti-LGBTQ","","","2019"
"Pilgrims Covenant Church","Monroe","Wisconsin","","Anti-LGBTQ","","","2019"
"Probe Ministries","Plano","Texas","","Anti-LGBTQ","","","2019"
"Public Advocate of the United States","Merrifield","Virginia","","Anti-LGBTQ","Yes","","2019"
"Revival Baptist Church","Clermont","Florida","","Anti-LGBTQ","Yes","","2019"
"Ruth Institute","Lake Charles","Louisiana","Ruth Institute","Anti-LGBTQ","","","2019"
"Save California","Sacramento","California","","Anti-LGBTQ","","","2019"
"Scott Lively Ministries","Springfield","Massachusetts","","Anti-LGBTQ","Yes","","2019"
"Stedfast Baptist Church","Fort Worth","Texas","","Anti-LGBTQ","Yes","","2019"
"Stedfast Baptist Church","Jacksonville","Florida","","Anti-LGBTQ","","","2019"
"Stedfast Baptist Church","Oklahoma City","Oklahoma","","Anti-LGBTQ","","","2019"
"Strong Hold Baptist Church","Norcross","Georgia","","Anti-LGBTQ","Yes","","2019"
"Sure Foundation Baptist Church","Vancouver","Washington","","Anti-LGBTQ","Yes","","2019"
"Sure Foundation Baptist Church","Kailua","Hawaii","","Anti-LGBTQ","","","2019"
"Sure Foundation Baptist Church","Spokane","Washington","","Anti-LGBTQ","","","2019"
"The Campus Ministry USA","Terre Haute","Indiana","","Anti-LGBTQ","Yes","","2019"
"The Pray in Jesus Name Project","Colorado Springs","Colorado","","Anti-LGBTQ","","","2019"
"Tom Brown Ministries","El Paso","Texas","","Anti-LGBTQ","","","2019"
"True Light Pentecost Church","Spartanburg","South Carolina","","Anti-LGBTQ","","","2019"
"United Families International","Gilbert","Arizona","","Anti-LGBTQ","","","2019"
"Verity Baptist Church","Sacramento","California","","Anti-LGBTQ","","","2019"
"Warriors for Christ","Bristol","Tennessee","","Anti-LGBTQ","Yes","","2019"
"Westboro Baptist Church","Topeka","Kansas","Westboro Baptist Church","Anti-LGBTQ","Yes","","2019"
"World Congress of Families/International Organization for the Family","Rockford","Illinois","World Congress of Families","Anti-LGBTQ","","","2019"
"ACT for America","Washington","District of Columbia","ACT for America ","Anti-Muslim","Yes","","2019"
"ACT for America","","Connecticut","ACT for America ","Anti-Muslim","","Yes","2019"
"ACT for America","Austin","Texas","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Baton Rouge","Louisiana","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Bear","Delaware","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Charleston","West Virginia","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Cheshire","Connecticut","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Cincinnati","Ohio","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Cleveland","Ohio","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Coffee County","Tennessee","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Columbus","Ohio","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Corona","California","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Des Plaines","Illinois","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Hauppauge","New York","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Heathrow","Florida","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Hopkinton","Massachusetts","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Houston","Texas","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Jacksonville","Florida","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Jonesboro","Arkansas","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Kansas City","Missouri","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Knoxville","Tennessee","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Lafayette","Indiana","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Laguna Woods","California","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Los Angeles","California","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Metairie","Louisiana","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Mission Viejo","California","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Nashua","New Hampshire","ACT for America ","Anti-Muslim","","","2019"
"ACT for America","Oostburg","Wisconsin","ACT for America ","Anti-Muslim","","","2019"
